orfname,Gene Symbol,Description,log2_rep1,log2_rep2,log2_rep3,log2_rep4,log2_rep5,log2_rep6,# peptides,Avg log2 ratio,SD,p1,p2,# SILAC peptides,log2_SILAC ratio
YDR040C,ENA1,"P-type ATPase sodium pump, involved in Na+ and Li+ efflux to allow salt tolerance",0.66,1.52,-0.09,0.66,0.24,0.80,3,0.63,0.545,0.048,0.003,10,0.49
YKL218C,SRY1,"3-hydroxyaspartate dehydratase, deaminates L-threo-3-hydroxyaspartate to form oxaloacetate and ammonia; required for survival in the presence of hydroxyaspartate",0.58,0.58,0.54,0.34,0.66,1.04,9,0.62,0.232,0.018,0.000,10,0.47
YGR019W,UGA1,Gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase) involved in the 4-aminobutyrate and glutamate degradation pathways; required for normal oxidative stress tolerance and nitrogen utilization,0.65,0.49,0.60,0.50,0.79,0.64,28,0.61,0.111,0.000,0.000,4,0.63
YMR174C,PAI3,"Cytoplasmic proteinase A (Pep4p) inhibitor, dependent on Pbs2p and Hog1p protein kinases for osmotic induction; intrinsically unstructured, N-terminal half becomes ordered in the active site of proteinase A upon contact",0.65,0.52,0.88,0.51,1.06,0.04,8,0.61,0.354,0.009,0.000,3,0.32
YDL110C,TMA17,Protein of unknown function that associates with ribosomes,0.65,0.59,0.79,0.20,0.69,0.50,11,0.57,0.207,0.036,0.000,16,0.42
YGL196W,DSD1,"D-serine dehydratase (aka D-serine ammonia-lyase); converts D-serine to pyruvate and ammonia; specifc for D-serine, unlike the bacterial enzyme which recognizes both D-serine and L-serine as substrates",0.41,0.68,0.55,0.80,0.37,0.56,11,0.56,0.160,0.001,0.000,11,0.63
YGL062W,PYC1,"Pyruvate carboxylase isoform, cytoplasmic enzyme that converts pyruvate to oxaloacetate; highly similar to isoform Pyc2p but differentially regulated; mutations in the human homolog are associated with lactic acidosis",0.56,0.64,0.48,0.63,0.41,0.59,55,0.55,0.092,0.000,0.000,23,0.36
YNR001C,CIT1,"Citrate synthase, catalyzes the condensation of acetyl coenzyme A and oxaloacetate to form citrate; the rate-limiting enzyme of the TCA cycle; nuclear encoded mitochondrial protein",0.42,0.17,0.44,0.66,0.70,0.70,57,0.52,0.211,0.002,0.000,23,0.62
YBR006W,UGA2,Succinate semialdehyde dehydrogenase involved in the utilization of gamma-aminobutyrate (GABA) as a nitrogen source; part of the 4-aminobutyrate and glutamate degradation pathways; localized to the cytoplasm,0.69,0.41,0.81,0.19,0.20,0.46,6,0.46,0.253,0.048,0.000,,
YHR029C,YHI9,"Protein of unknown function; null mutant is defective in unfolded protein response; possibly involved in a membrane regulation metabolic pathway; member of the PhzF superfamily, though most likely not involved in phenazine production",0.18,0.35,0.29,0.81,0.50,0.58,20,0.45,0.228,0.008,0.000,11,0.41
YOR120W,GCY1,"Putative NADP(+) coupled glycerol dehydrogenase, proposed to be involved in an alternative pathway for glycerol catabolism; member of the aldo-keto reductase (AKR) family",0.43,0.53,0.43,0.46,0.48,0.36,49,0.45,0.058,0.000,0.000,21,0.51
YOR052C,YOR052C,"Nuclear protein of unknown function; expression induced by nitrogen limitation in a GLN3, GAT1-independent manner and by weak acid",0.45,0.52,0.60,0.28,0.39,0.38,5,0.44,0.115,0.001,0.000,4,0.50
YLR089C,ALT1,"Putative alanine transaminase (glutamic pyruvic transaminase); the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",0.40,0.67,0.37,0.39,0.19,0.56,7,0.43,0.168,0.004,0.002,6,0.38
YNL239W,LAP3,Cysteine aminopeptidase with homocysteine-thiolactonase activity; protects cells against homocysteine toxicity; has bleomycin hydrolase activity in vitro; transcription is regulated by galactose via Gal4p; orthologous to human BLMH,0.59,0.42,0.46,0.42,0.28,0.41,25,0.43,0.097,0.000,0.000,10,0.51
YHL021C,AIM17,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays decreased frequency of mitochondrial genome loss (petite formation)",0.61,0.52,0.41,0.25,0.32,0.48,20,0.43,0.132,0.008,0.000,18,0.66
YPL281C,ERR2,"Protein of unknown function, has similarity to enolases",0.62,0.35,0.65,0.39,0.24,0.29,8,0.42,0.170,0.006,0.004,13,0.72
YMR256C,COX7,"Subunit VII of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain",0.50,0.22,0.46,0.21,0.55,0.55,2,0.42,0.158,0.017,0.033,,
YIL051C,MMF1,Mitochondrial protein involved in maintenance of the mitochondrial genome,0.30,0.41,0.33,0.49,0.43,0.39,77,0.39,0.069,0.000,0.001,47,0.37
YPL154C,PEP4,"Vacuolar aspartyl protease (proteinase A), required for the posttranslational precursor maturation of vacuolar proteinases; important for protein turnover after oxidative damage; synthesized as a zymogen, self-activates",0.37,0.71,0.45,0.24,0.27,0.24,44,0.38,0.183,0.021,0.001,41,0.27
YNL134C,YNL134C,Putative protein of unknown function with similarity to dehydrogenases from other model organisms; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and nucleus and is induced by the DNA-damaging agent MMS,0.43,0.17,0.32,0.25,0.68,0.41,75,0.38,0.178,0.009,0.001,36,0.30
YDL204W,RTN2,Protein of unknown function; has similarity to mammalian reticulon proteins; member of the RTNLA (reticulon-like A) subfamily,0.43,0.15,0.45,0.40,0.71,0.11,15,0.37,0.221,0.028,0.001,21,0.43
YMR189W,GCV2,"P subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of 5,10-methylene-THF in the cytoplasm",0.30,0.52,0.25,0.46,0.34,0.35,42,0.37,0.102,0.001,0.001,33,0.42
YPL280W,HSP32,"Possible chaperone and cysteine protease with similarity to E. coli Hsp31 and S. cerevisiae Hsp31p, Hsp33p, and Sno4p; member of the DJ-1/ThiJ/PfpI superfamily, which includes human DJ-1 involved in Parkinson's disease",0.49,0.73,0.45,0.25,0.08,0.23,4,0.37,0.231,0.025,0.014,3,0.55
YDL215C,GDH2,"NAD(+)-dependent glutamate dehydrogenase, degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels",0.41,0.43,0.19,0.46,0.25,0.41,36,0.36,0.111,0.006,0.001,21,0.33
YIL136W,OM45,"Protein of unknown function, major constituent of the mitochondrial outer membrane; located on the outer (cytosolic) face of the outer membrane",0.35,0.36,0.20,0.43,0.58,0.23,29,0.36,0.138,0.001,0.002,9,0.36
YPR184W,GDB1,"Glycogen debranching enzyme containing glucanotranferase and alpha-1,6-amyloglucosidase activities, required for glycogen degradation; phosphorylated in mitochondria",0.48,0.62,0.10,0.38,0.00,0.56,12,0.36,0.252,0.044,0.002,11,0.35
YKL148C,SDH1,"Flavoprotein subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p), which couples the oxidation of succinate to the transfer of electrons to ubiquinone",0.20,0.34,0.39,0.35,0.37,0.47,10,0.35,0.090,0.000,0.001,8,0.22
YLR257W,YLR257W,Putative protein of unknown function,0.19,0.39,0.03,0.47,0.50,0.34,26,0.32,0.179,0.028,0.003,23,0.50
YBR132C,AGP2,"High affinity polyamine permease, preferentially uses spermidine over putrescine; expression is down-regulated by osmotic stress; plasma membrane carnitine transporter, also functions as a low-affinity amino acid permease",0.37,0.49,0.16,0.41,0.11,0.37,4,0.32,0.149,0.009,0.016,,
YJL066C,MPM1,"Mitochondrial membrane protein of unknown function, contains no hydrophobic stretches",0.33,0.32,0.36,0.33,0.13,0.40,14,0.31,0.094,0.008,0.005,8,0.27
YKL151C,YKL151C,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm,0.03,0.16,0.16,0.43,0.66,0.42,18,0.31,0.233,0.045,0.005,5,0.40
YGL156W,AMS1,"Vacuolar alpha mannosidase, involved in free oligosaccharide (fOS) degradation; delivered to the vacuole in a novel pathway separate from the secretory pathway",0.22,0.23,0.20,0.41,0.47,0.30,33,0.31,0.113,0.001,0.004,26,0.31
YNL055C,POR1,"Mitochondrial porin (voltage-dependent anion channel), outer membrane protein required for the maintenance of mitochondrial osmotic stability and mitochondrial membrane permeability; phosphorylated",0.39,0.29,0.36,0.28,0.23,0.24,81,0.30,0.065,0.007,0.007,51,0.27
YDL066W,IDP1,"Mitochondrial NADP-specific isocitrate dehydrogenase, catalyzes the oxidation of isocitrate to alpha-ketoglutarate; not required for mitochondrial respiration and may function to divert alpha-ketoglutarate to biosynthetic processes",0.32,0.25,0.38,0.24,0.33,0.28,47,0.30,0.055,0.001,0.007,21,0.30
YER141W,COX15,"Protein required for the hydroxylation of heme O to form heme A, which is an essential prosthetic group for cytochrome c oxidase",0.27,0.19,0.20,0.21,0.58,0.34,10,0.30,0.150,0.022,0.040,4,0.30
YBR056W,YBR056W,Putative cytoplasmic protein of unknown function,0.31,0.20,0.30,0.06,0.30,0.59,23,0.30,0.176,0.009,0.005,16,0.24
YMR096W,SNZ1,"Protein involved in vitamin B6 biosynthesis; member of a stationary phase-induced gene family; coregulated with SNO1; interacts with Sno1p and with Yhr198p, perhaps as a multiprotein complex containing other Snz and Sno proteins",0.19,0.36,0.19,0.36,0.36,0.29,28,0.29,0.085,0.008,0.006,28,0.09
YPR160W,GPH1,"Non-essential glycogen phosphorylase required for the mobilization of glycogen, activity is regulated by cyclic AMP-mediated phosphorylation, expression is regulated by stress-response elements and by the HOG MAP kinase pathway",0.41,0.18,0.41,0.35,0.27,0.11,26,0.29,0.125,0.006,0.006,17,0.46
YNL274C,GOR1,"Glyoxylate reductase; null mutation results in increased biomass after diauxic shift; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",0.27,0.30,0.43,0.28,0.07,0.39,14,0.29,0.124,0.023,0.007,10,0.32
YGR008C,STF2,Protein involved in regulation of the mitochondrial F1F0-ATP synthase; Stf1p and Stf2p may act as stabilizing factors that enhance inhibitory action of the Inh1p protein,0.20,0.41,0.30,0.31,0.28,0.20,7,0.28,0.077,0.028,0.028,2,0.47
YJL153C,INO1,"Inositol 1-phosphate synthase, involved in synthesis of inositol phosphates and inositol-containing phospholipids; transcription is coregulated with other phospholipid biosynthetic genes by Ino2p and Ino4p, which bind the UASINO DNA element",0.19,0.34,0.18,0.21,0.42,0.35,14,0.28,0.102,0.009,0.049,18,0.37
YOR375C,GDH1,"NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh3p; expression regulated by nitrogen and carbon sources",0.39,0.42,0.16,0.24,0.07,0.33,64,0.27,0.135,0.009,0.014,54,0.36
YCR083W,TRX3,"Mitochondrial thioredoxin, highly conserved oxidoreductase required to maintain the redox homeostasis of the cell, forms the mitochondrial thioredoxin system with Trr2p, redox state is maintained by both Trr2p and Glr1p",0.25,0.42,0.17,0.32,0.15,0.28,25,0.27,0.100,0.002,0.013,17,0.24
YHR018C,ARG4,"Argininosuccinate lyase, catalyzes the final step in the arginine biosynthesis pathway",0.18,0.19,0.14,0.26,0.46,0.36,53,0.26,0.123,0.006,0.015,14,0.27
YDR019C,GCV1,"T subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of levels of 5,10-methylene-THF in the cytoplasm",0.19,0.38,0.20,0.34,0.20,0.27,36,0.26,0.082,0.001,0.011,22,0.20
YBR139W,YBR139W,"Putative serine type carboxypeptidase with a role in phytochelatin synthesis; green fluorescent protein (GFP)-fusion protein localizes to the vacuole; expression induced by nitrogen limitation in a GLN3, GAT1-independent manner",0.26,0.08,0.21,0.42,0.37,0.20,19,0.26,0.124,0.011,0.017,7,0.01
YJR096W,YJR096W,Putative xylose and arabinose reductase; member of the aldo-keto reductase (AKR) family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS,0.08,0.45,0.29,0.22,0.16,0.31,15,0.25,0.128,0.012,0.016,8,0.10
YEL066W,HPA3,"D-Amino acid N-acetyltransferase, catalyzes N-acetylation of D-amino acids through ordered bi-bi mechanism in which acetyl-CoA is first substrate bound and CoA is last product liberated; similar to Hpa2p, acetylates histones weakly in vitro",0.27,0.02,0.20,0.23,0.31,0.45,9,0.25,0.144,0.010,0.019,2,0.07
YML128C,MSC1,"Protein of unknown function; mutant is defective in directing meiotic recombination events to homologous chromatids; the authentic, non-tagged protein is detected in highly purified mitochondria and is phosphorylated",0.40,0.12,0.42,0.15,0.23,0.15,68,0.24,0.131,0.008,0.022,36,0.30
YLR304C,ACO1,"Aconitase, required for the tricarboxylic acid (TCA) cycle and also independently required for mitochondrial genome maintenance; phosphorylated; component of the mitochondrial nucleoid; mutation leads to glutamate auxotrophy",0.21,0.34,0.15,0.20,0.17,0.29,162,0.23,0.072,0.000,0.032,46,0.29
YDR316W,OMS1,Protein integral to the mitochondrial membrane; has a conserved methyltransferase motif; multicopy suppressor of respiratory defects caused by OXA1 mutations,0.14,0.17,0.28,0.40,0.29,0.05,20,0.22,0.126,0.020,0.028,7,0.27
YDR298C,ATP5,"Subunit 5 of the stator stalk of mitochondrial F1F0 ATP synthase, which is an evolutionarily conserved enzyme complex required for ATP synthesis; homologous to bovine subunit OSCP (oligomycin sensitivity-conferring protein); phosphorylated",0.28,0.27,0.15,0.20,0.17,0.25,25,0.22,0.052,0.003,0.028,7,0.18
YMR083W,ADH3,Mitochondrial alcohol dehydrogenase isozyme III; involved in the shuttling of mitochondrial NADH to the cytosol under anaerobic conditions and ethanol production,0.13,0.26,0.21,0.25,0.17,0.25,60,0.21,0.054,0.000,0.040,25,0.24
YGL006W,PMC1,Vacuolar Ca2+ ATPase involved in depleting cytosol of Ca2+ ions; prevents growth inhibition by activation of calcineurin in the presence of elevated concentrations of calcium; similar to mammalian PMCA1a,0.21,0.13,0.16,0.17,0.25,0.34,25,0.21,0.073,0.014,0.041,14,0.22
YMR120C,ADE17,"Enzyme of 'de novo' purine biosynthesis containing both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities, isozyme of Ade16p; ade16 ade17 mutants require adenine and histidine",0.16,0.25,0.21,0.23,0.23,0.15,59,0.20,0.041,0.006,0.047,38,0.18
YBR046C,ZTA1,"Zeta-crystallin homolog, found in the cytoplasm and nucleus; has similarity to E. coli quinone oxidoreductase and to human zeta-crystallin, which has quinone oxidoreductase activity",0.16,0.12,0.16,0.29,0.32,0.16,14,0.20,0.083,0.001,0.045,15,0.26
YLR270W,DCS1,"Non-essential hydrolase involved in mRNA decapping, may function in a feedback mechanism to regulate deadenylation, contains pyrophosphatase activity and a HIT (histidine triad) motif; interacts with neutral trehalase Nth1p",0.12,0.34,0.08,0.14,0.23,0.29,29,0.20,0.103,0.019,0.050,9,0.20
YDR533C,HSP31,"Possible chaperone and cysteine protease with similarity to E. coli Hsp31; member of the DJ-1/ThiJ/PfpI superfamily, which includes human DJ-1 involved in Parkinson's disease; exists as a dimer and contains a putative metal-binding site",0.34,0.15,0.25,0.07,0.29,0.07,30,0.20,0.113,0.017,0.046,10,0.23
YPL127C,HHO1,"Histone H1, a linker histone required for nucleosome packaging at restricted sites; suppresses DNA repair involving homologous recombination; not required for telomeric silencing, basal transcriptional repression, or efficient sporulation",0.21,0.22,0.14,0.31,0.09,0.19,38,0.19,0.076,0.001,0.047,15,0.32
YLR344W,RPL26A,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl26Bp and has similarity to E. coli L24 and rat L26 ribosomal proteins; binds to 5.8S rRNA",-0.18,-0.09,-0.26,-0.21,-0.35,-0.15,49,-0.21,0.088,0.046,0.045,9,-0.12
YHR196W,UTP9,"Nucleolar protein, component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA",-0.24,-0.36,-0.13,-0.10,-0.25,-0.17,23,-0.21,0.094,0.014,0.036,17,-0.09
YJL034W,KAR2,"ATPase involved in protein import into the ER, also acts as a chaperone to mediate protein folding in the ER and may play a role in ER export of soluble proteins; regulates the unfolded protein response via interaction with Ire1p",-0.14,-0.09,-0.15,-0.32,-0.24,-0.31,117,-0.21,0.096,0.009,0.043,72,-0.13
YML017W,PSP2,Asn rich cytoplasmic protein that contains RGG motifs; high-copy suppressor of group II intron-splicing defects of a mutation in MRS2 and of a conditional mutation in POL1 (DNA polymerase alpha); possible role in mitochondrial mRNA splicing,-0.10,-0.36,-0.34,-0.19,-0.20,-0.08,30,-0.21,0.118,0.045,0.041,16,0.03
YJR123W,RPS5,"Protein component of the small (40S) ribosomal subunit, the least basic of the non-acidic ribosomal proteins; phosphorylated in vivo; essential for viability; has similarity to E. coli S7 and rat S5 ribosomal proteins",-0.18,-0.30,-0.23,-0.14,-0.29,-0.13,35,-0.21,0.071,0.009,0.034,17,-0.12
YIL149C,MLP2,"Myosin-like protein associated with the nuclear envelope, connects the nuclear pore complex with the nuclear interior; involved in the Tel1p pathway that controls telomere length",-0.23,-0.21,-0.25,-0.08,-0.31,-0.24,18,-0.22,0.079,0.023,0.031,27,-0.10
YPR156C,TPO3,Polyamine transport protein specific for spermine; localizes to the plasma membrane; member of the major facilitator superfamily,-0.28,-0.40,-0.22,-0.22,-0.16,-0.22,13,-0.25,0.080,0.018,0.015,4,-0.04
YOR171C,LCB4,"Sphingoid long-chain base kinase, responsible for synthesis of long-chain base phosphates, which function as signaling molecules, regulates synthesis of ceramide from exogenous long-chain bases, localizes to the Golgi and late endosomes",-0.46,-0.19,0.03,-0.12,-0.51,-0.39,16,-0.27,0.214,0.045,0.034,17,-0.21
YPR158W-B,YPR158W-B,"Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes",-0.24,-0.31,-0.11,-0.34,-0.44,-0.33,85,-0.30,0.112,0.001,0.008,63,-0.42
YPL043W,NOP4,"Nucleolar protein, essential for processing and maturation of 27S pre-rRNA and large ribosomal subunit biogenesis; constituent of 66S pre-ribosomal particles; contains four RNA recognition motifs (RRMs)",-0.50,-0.34,-0.39,-0.19,-0.25,-0.23,23,-0.32,0.117,0.001,0.003,16,-0.55
YGR245C,SDA1,"Highly conserved nuclear protein required for actin cytoskeleton organization and passage through Start, plays a critical role in G1 events, binds Nap1p, also involved in 60S ribosome biogenesis",-0.48,-0.06,-0.50,-0.26,-0.45,-0.17,4,-0.32,0.185,0.022,0.023,4,-0.38
YOR303W,CPA1,"Small subunit of carbamoyl phosphate synthetase, which catalyzes a step in the synthesis of citrulline, an arginine precursor; translationally regulated by an attenuator peptide encoded by YOR302W within the CPA1 mRNA 5'-leader",-0.31,-0.34,-0.37,-0.29,-0.39,-0.28,57,-0.33,0.042,0.000,0.003,18,-0.36
YNL002C,RLP7,Nucleolar protein with similarity to large ribosomal subunit L7 proteins; constituent of 66S pre-ribosomal particles; plays an essential role in processing of precursors to the large ribosomal subunit RNAs,-0.51,-0.27,-0.42,-0.34,-0.43,-0.17,16,-0.36,0.123,0.000,0.001,3,-0.32
YNR053C,NOG2,Putative GTPase that associates with pre-60S ribosomal subunits in the nucleolus and is required for their nuclear export and maturation,-0.41,-0.28,-0.36,-0.30,-0.53,-0.29,26,-0.36,0.096,0.001,0.001,21,-0.32
YOR343W-B,YOR343W-B,"Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes",-0.46,-0.46,-0.38,-0.35,-0.36,-0.18,33,-0.36,0.102,0.006,0.001,12,-0.14
YGL255W,ZRT1,"High-affinity zinc transporter of the plasma membrane, responsible for the majority of zinc uptake; transcription is induced under low-zinc conditions by the Zap1p transcription factor",-0.40,-0.33,-0.46,-0.46,-0.13,-0.44,13,-0.37,0.125,0.016,0.007,8,-0.32
YEL046C,GLY1,"Threonine aldolase, catalyzes the cleavage of L-allo-threonine and L-threonine to glycine; involved in glycine biosynthesis",-0.36,-0.20,-0.45,-0.33,-0.70,-0.26,25,-0.38,0.176,0.018,0.001,24,-0.41
YOR145C,PNO1,"Essential nucleolar protein required for pre-18S rRNA processing, interacts with Dim1p, an 18S rRNA dimethyltransferase, and also with Nob1p, which is involved in proteasome biogenesis; contains a KH domain",-0.20,-0.21,-0.32,-0.43,-0.44,-0.85,15,-0.41,0.239,0.018,0.003,5,-0.60
YPL221W,FLC1,Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance,-0.48,-0.64,-0.49,-0.27,-0.04,-0.76,6,-0.45,0.258,0.014,0.023,6,-0.07
YLR333C,RPS25B,Protein component of the small (40S) ribosomal subunit; nearly identical to Rps25Ap and has similarity to rat S25 ribosomal protein,-0.17,-0.40,-0.21,-0.82,-0.37,-0.75,37,-0.45,0.272,0.040,0.000,,
YDL173W,PAR32,Putative protein of unknown function; hyperphosphorylated upon rapamycin treatment in a Tap42p-dependent manner; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; PAR32 is not an essential gene,-0.42,-0.34,-0.60,-0.35,-0.53,-0.50,9,-0.46,0.105,0.023,0.001,8,-0.49
